gas_used, gas_price
21000,0
21000,0
21000,0
21000,0
21000,0
21000,0
21000,0
21000,0
21000,0
21000,0
21000,0
21000,0
21000,0
21000,0
21000,0
21000,0
21000,0
