gas_used, gas_price
149661,1000000000
364987,1500000000
124777,25542205892
113408,0
116667,11030228210
111882,7012811133
21000,492133037526
1062872,10875167594
344967,8471214020
375010,7296219154
243871,5235864369
250725,3512895525
41536,0
21000,0
21000,0
21000,0
21000,0
21000,0
21000,0
129271,1500000000
167910,1000000000
376402,31935055325
100580,31935055325
137693,146612972617
110445,22945772607
117441,17666431232
120868,11880970737
669100,2911992181
105905,1506288426
191600,1071833648
30428,1594534467
45038,1101995138
60402,1101995138
292134,1101995138
85932,0
102688,7112620395
75967,341051702205
88116,0
330129,1500000000
79571,246514318697
45521,24122004837
197199,0
171103,2000000000
187594,59537215199
207505,18800687041
112747,479875399064
158495,449866699493
273466,123936906737
209622,1790927762
27938,1372790976
142751,1126320921
127223,1000000000
424220,2000000000
89918,203860285657
132041,1000000000
119362,1500000000
94792,64462654516
211588,0
202442,2895401146
207441,45208931307
21000,146277928219
116245,139365100000
72559,1116584767
55459,1116584767
516553,1106605576
72088,1106605576
21000,22272826640
47988,21558074471
21000,13772826640
189049,4964066194
120474,21429401080
193024,20000000000
145899,0
180022,1500000000
187594,20098277639
141071,4137085860
151338,2181379645
69310,1218512726
35204,1000000001
60311,1103341882
165502,306487657103
489369,0
204795,2000000000
239931,260767075877
291907,51947102791
114148,28573275303
110644,13274666296
122292,13161892259
94515,80767023232
31652,80666825570
33910,88733508130
32244,19760000000
111771,217839042487
101006,151672587080
88737,0
545875,2143604401
80192,627272281133
116607,61459916529
129808,1500000001
271597,17774149941
261523,5234439954
71777,1735338993
100652,0
251888,1980000000
94099,1292825261189
123850,230577818662
103618,168355297786
21000,20000000000
148898,0
265008,5000000000
135715,29595436626
120474,7377085187
257056,6243240759
101006,3176311000
46458,1450741901
177384,1132044203
27938,1624097277
35204,2163406129
185784,2163406129
60311,1951507053
206284,1745722078
195591,2143604401
209371,850759315
21000,0
21000,0
21000,0
21000,0
21000,0
21000,0
41124,0
21000,0
21000,0
21000,0
21000,0
21000,0
21000,0
21000,0
21000,0
21000,0
21000,0
21000,0
21000,0
21000,0
21000,0
21000,0
21000,0
21000,0
21000,0
21000,0
21000,0
21000,0
21000,0
21000,0
21000,0
21000,0
21000,0
21000,0
21000,0
21000,0
21000,0
21000,0
21000,0
21000,0
121293,88377841780
121250,42445474362
266946,24461778867
113579,10347167803
375965,112031876209
605464,19046197867
366769,5000000000
35204,1898902328
21000,183309874791
156370,17910468759
121502,18151621926
490802,6031441577
122510,5069713521
103995,1500000000
154133,648161268528
154086,298137140105
112685,464694868672
123891,328826364368
151070,64918866712
110064,62025104355
118834,32812156463
123894,29252928845
227269,28433803982
298660,25332617593
1264913,16581762764
131129,11746576463
116300,37615105761
301214,1500000000
324366,23970353889
123638,9604256416
99310,4000000000
245295,4046233146
21000,1620670890
47421,1620670890
30404,1318163605
30416,1148113063
135210,0
115950,1500000000
116790,123390615639
30392,1153849139
123816,435763500721
123871,168651619297
127155,151600711299
121236,87859892251
140457,63620669935
113189,41793981172
96168,0
345239,6050000000
94299,207040451992
118051,35581164618
21000,0
103074,0
88543,1500000000
71409,91821340646
102496,40000000000
168571,13747959681
159557,602462992666
123891,543555517408
121246,169834990784
164094,836144951
215825,187443603286
110006,48740547555
141023,41488221243
124402,45905776252
135100,40199710123
113614,37816147294
101006,25347465547
165279,106444852672
272530,90996339000
112841,193420216097
153842,145074935743
107366,0
171573,2000000000
133207,253771359810
98371,35500000000
88280,3020000000
88280,3020000000
88280,3020000000
88280,3020000000
112849,186982774824
27603,40420044591
46109,24935160801
21000,21497993421
46109,12935160801
21000,10935160801
400364,4179891894
21000,40512251702
223898,4849686523
103618,193321239934
151703,0
183325,2000000000
134139,298636360453
118768,30906131395
99310,19760000001
32244,19760000000
21000,0
21000,0
21000,0
21000,0
21000,0
21000,0
21000,0
21000,0
21000,0
21000,0
21000,0
39439,0
21000,0
21000,0
21000,0
