gas_price,gas_used,nonce
16809686458,256070,110232,1
100000000000,250000,3,1
16396369439,161120,55,1
100000000000,250000,2,1
16809686458,679506,111409,1
38602822222,150307,221044,1
24792738878,350000,49490,1
16036203820,286226,374,1
24792738878,350000,49489,1
15077913688,96491,9399,1
13707181801,277687,27362,1
15647159558,262272,1278,1
29592565152,700000,164,1
18451576110,27938,58,1
27580457024,1012800,9605,1
20754659259,133760,221043,1
19294356636,255870,100254,1
20685342768,230854,93018,1
38383226321,197154,115639,1
17780662418,244570,1737,1
12862904424,205265,115638,1
21084956050,226334,10426,1
19294356636,244428,92057,1
19294356636,232546,76461,1
15828303977,45038,78,1
20723698263,286925,6,1
19120849417,27938,161,1
15828303977,293546,0,1
67717325925,150300,221042,1
20084031256,726400,103048,1
15276840321,1523074,4,1
20084031256,312074,100424,1
17015773336,600000,1785,1
17200001955,97565,286,1
19471697782,256018,74950,1
13977201764,300464,115,1
16310102870,287454,6,1
12706535507,298033,1,1
16046885394,241664,76459,1
15188971933,53892,207,1
400000000000,700000,58,1
22474299015,1069566,5160,1
20532285187,300000,162471,1
16179827634,331570,29574,1
20837267536,300000,62006,1
16631983311,500000,5023,1
19139061092,294005,5979,1
16046885394,725074,92055,1
15276840321,1181708,3,1
16046885394,243494,103047,1
530378666666,133760,221041,1
52540266666,161158,221040,1
82646666666,127264,221039,1
14396807319,231958,110229,1
14396807319,315196,74949,1
18230239319,250000,44708820,1
18230239319,250000,44708819,1
13078447426,299233,9373,1
13078447426,299233,9372,1
12332208385,400000,3,1
87136779907,349976,33876,1
15000000000,326539,123,1
10276840321,303786,33875,1
13411454520,45038,48,1
12743673814,310868,22930,1
132170440919,177548,4910,1
16164065689,252716,93015,1
14712921877,228052,89587,1
18314767860,250000,1125,1
11904511059,261801,0,1
13094974070,63286,24,1
11613536492,678353,4359,1
14281427476,80131,9589,1
17040828495,229344,10370,1
146245623135,165665,3003,1
13070355640,179056,1013,1
44138984203,160317,172,1
17355361539,300015,77370,1
17040828495,197282,3611,1
356521259259,137625,221037,1
13562494388,150437,22929,1
12672215630,467842,8939,1
504193739544,151638,33874,1
14004464188,494329,27,1
8936400045,171168,33873,1
1224688888888,300000,221036,1
61014020061,414596,15,1
61014020061,21000,5,1
2399706666666,300000,221035,1
34772840376,806124,224,1
1100000000000,57825,10,1
22076235329,152135,4909,1
21000000000,250000,242529,1
18209473893,300003,105055,1
25607874330,300000,162467,1
141006601514,350000,15759,1
14162368712,218897,3,1
