gas_price,gas_used,nonce
17040828495,197282,3611
356521259259,137625,221037
13562494388,150437,22929
12672215630,467842,8939
504193739544,151638,33874
14004464188,494329,27
8936400045,171168,33873
1224688888888,300000,221036
61014020061,414596,15
61014020061,21000,5
2399706666666,300000,221035
34772840376,806124,224
1100000000000,57825,10
22076235329,152135,4909
21000000000,250000,242529
18209473893,300003,105055
25607874330,300000,162467
141006601514,350000,15759
14162368712,218897,3
6277783899,350000,15758
120000000000,500000,60
11972772853,300015,105054
11972772853,300015,62004
16215650328,330339,894
11250407311,63589,200
33416441649,400000,13038
94172124402,500000,19493
11157153321,337500,15
12446760564,251224,92054
14752254463,500002,52681
18795347629,230971,68110
24010000000,745030,7763
7376722441,275800,68109
9582759363,63605,160
11073767346,244344,89586
12787919224,300015,62003
8543756119,63605,25
18532037037,161166,221033
59915190678,230244,41656
22010000000,745030,7762
6919621437,274556,41655
40523375465,300000,162464
9286029881,45038,911
14630957836,86074,4573
8393065061,2042005,1148
7612924450,580000,29
12722084263,463021,16
85494253835,240000,644
12722084263,181272,849
71366908129,179263,4908
14563907632,171981,600
112054903284,224715,1646
60297200656,400000,5446
96501108961,500000,51819
1198448148148,300000,221032
5960363173637,280741,42663
35146782691,425086,223
8604675369,2000001,42662
12805059259,300000,221031
16000000000,21000,1871
40422704788,185898,4907
13968982514,257276,89585
8573655821,264796,6282
20000000000,340000,0
13000000000,330000,143
17665789741,300000,162463
15652052722,300003,5696
37288868534,249160,33872
13172819999,230692,1593
7390533901,280082,33871
10611196312,286784,77
13848156633,46663,206
13848156633,86050,4572
14270933581,350000,15757
9646533332,184899,869
8269477096,350000,15756
11672326555,303667,671
12233550584,500000,413875
12424231360,51517,205
12969799998,248098,76152
18937639914,500000,1777
12969799998,238234,93012
27202912779,177483,41777
10510248249,439419,11784
10742555976,570395,242
18855041242,262072,3322
12021317676,395526,458
9351098064,300160,3321
28000000000,188640,4571
21000000000,36900,10
25000000000,70000,14
30000000000,420000,2173872
30000000000,55000,42
40000000000,44500,0
50000000000,21000,75
150000000000,400000,9303
150000000000,400000,9302
14919942404,46113,204
26618621172,500000,1492837
53617393435,21000,2717496
23352111745,65000,1
15000000000,150000,8
15000000000,21000,266
16071172703,21000,2
33000000000,210000,797525
12606375774,63301,48
11716115079,152357,4358
13665589604,63574,21
16330947330,313421,7
17964058394,85495,6
14919942404,288017,28
14610068383,46619,203
25764034396,200000,1306
20308432410,500001,8026
16084059156,264735,11117
15231324307,255946,100418
39407732849,500000,2485
82123590863,300002,62002
163334810881,300002,162459
13805258601,63620,6
13006995101,317362,399
17740913046,339836,45
19515022092,61228,44
15870579613,305808,10
16128088107,85405,43
18506439468,251360,76456
94557029860,178966,33870
14661884950,247924,32
12337626312,198994,33869
15870579613,48673,9
15870579613,45038,0
18658637889,500000,4667
24814162098,277637,303
13116157651,328349,252
